data_file,opt_val
rudy_all/g05_100.0,1430
rudy_all/g05_100.1,1425
rudy_all/g05_100.2,1432
rudy_all/g05_100.3,1424
rudy_all/g05_100.4,1440
rudy_all/g05_100.5,1436
rudy_all/g05_100.6,1434
rudy_all/g05_100.7,1431
rudy_all/g05_100.8,1432
rudy_all/g05_100.9,1430
rudy_all/g05_60.0,536
rudy_all/g05_60.1,532
rudy_all/g05_60.2,529
rudy_all/g05_60.3,538
rudy_all/g05_60.4,527
rudy_all/g05_60.5,533
rudy_all/g05_60.6,531
rudy_all/g05_60.7,535
rudy_all/g05_60.8,530
rudy_all/g05_60.9,533
rudy_all/g05_80.0,929
rudy_all/g05_80.1,941
rudy_all/g05_80.2,934
rudy_all/g05_80.3,923
rudy_all/g05_80.4,932
rudy_all/g05_80.5,926
rudy_all/g05_80.6,929
rudy_all/g05_80.7,929
rudy_all/g05_80.8,925
rudy_all/g05_80.9,923
rudy_all/pm1d_100.0,340
rudy_all/pm1d_100.1,324
rudy_all/pm1d_100.2,389
rudy_all/pm1d_100.3,400
rudy_all/pm1d_100.4,363
rudy_all/pm1d_100.5,441
rudy_all/pm1d_100.6,367
rudy_all/pm1d_100.7,361
rudy_all/pm1d_100.8,385
rudy_all/pm1d_100.9,405
rudy_all/pm1d_80.0,227
rudy_all/pm1d_80.1,245
rudy_all/pm1d_80.2,284
rudy_all/pm1d_80.3,291
rudy_all/pm1d_80.4,251
rudy_all/pm1d_80.5,242
rudy_all/pm1d_80.6,205
rudy_all/pm1d_80.7,249
rudy_all/pm1d_80.8,293
rudy_all/pm1d_80.9,258
rudy_all/pm1s_100.0,127
rudy_all/pm1s_100.1,126
rudy_all/pm1s_100.2,125
rudy_all/pm1s_100.3,111
rudy_all/pm1s_100.4,128
rudy_all/pm1s_100.5,128
rudy_all/pm1s_100.6,122
rudy_all/pm1s_100.7,112
rudy_all/pm1s_100.8,120
rudy_all/pm1s_100.9,127
rudy_all/pm1s_80.0,79
rudy_all/pm1s_80.1,85
rudy_all/pm1s_80.2,82
rudy_all/pm1s_80.3,81
rudy_all/pm1s_80.4,70
rudy_all/pm1s_80.5,87
rudy_all/pm1s_80.6,73
rudy_all/pm1s_80.7,83
rudy_all/pm1s_80.8,81
rudy_all/pm1s_80.9,70
rudy_all/pw01_100.0,2019
rudy_all/pw01_100.1,2060
rudy_all/pw01_100.2,2032
rudy_all/pw01_100.3,2067
rudy_all/pw01_100.4,2039
rudy_all/pw01_100.5,2108
rudy_all/pw01_100.6,2032
rudy_all/pw01_100.7,2074
rudy_all/pw01_100.8,2022
rudy_all/pw01_100.9,2005
rudy_all/pw05_100.0,8190
rudy_all/pw05_100.1,8045
rudy_all/pw05_100.2,8039
rudy_all/pw05_100.3,8139
rudy_all/pw05_100.4,8125
rudy_all/pw05_100.5,8169
rudy_all/pw05_100.6,8217
rudy_all/pw05_100.7,8249
rudy_all/pw05_100.8,8199
rudy_all/pw05_100.9,8099
rudy_all/pw09_100.0,13585
rudy_all/pw09_100.1,13417
rudy_all/pw09_100.2,13461
rudy_all/pw09_100.3,13656
rudy_all/pw09_100.4,13514
rudy_all/pw09_100.5,13574
rudy_all/pw09_100.6,13640
rudy_all/pw09_100.7,13501
rudy_all/pw09_100.8,13593
rudy_all/pw09_100.9,13658
rudy_all/w01_100.0,651
rudy_all/w01_100.1,719
rudy_all/w01_100.2,676
rudy_all/w01_100.3,813
rudy_all/w01_100.4,668
rudy_all/w01_100.5,643
rudy_all/w01_100.6,654
rudy_all/w01_100.7,725
rudy_all/w01_100.8,721
rudy_all/w01_100.9,729
rudy_all/w05_100.0,1646
rudy_all/w05_100.1,1606
rudy_all/w05_100.2,1902
rudy_all/w05_100.3,1627
rudy_all/w05_100.4,1546
rudy_all/w05_100.5,1581
rudy_all/w05_100.6,1479
rudy_all/w05_100.7,1987
rudy_all/w05_100.8,1311
rudy_all/w05_100.9,1752
rudy_all/w09_100.0,2121
rudy_all/w09_100.1,2096
rudy_all/w09_100.2,2738
rudy_all/w09_100.3,1990
rudy_all/w09_100.4,2033
rudy_all/w09_100.5,2433
rudy_all/w09_100.6,2220
rudy_all/w09_100.7,2252
rudy_all/w09_100.8,1843
rudy_all/w09_100.9,2043
